Floor,Room,Description,Value
All,Entire Roomplan,Name,Extra Special Floor Plan
All,Entire Roomplan,Address,513 W Fourth Plain Blvd Vancouver WA
All,Entire Roomplan,Latitude,45.639999 m
All,Entire Roomplan,Longitude,-122.676437 m
All,Entire Roomplan,Altitude [ft],116' 9.5"
All,Entire Roomplan,Total exterior floor area [ft^2],1593.2
Floor 1,Entire Floor,Total exterior floor area [ft^2],1107.4
Floor 2,Entire Floor,Total exterior floor area [ft^2],485.7
All,Entire Roomplan,Total livable floor area [ft^2],1457.0
Floor 1,Entire Floor,Total livable floor area [ft^2],1011.5
Floor 2,Entire Floor,Total livable floor area [ft^2],445.5
Floor 2,Home Office,Floor area [ft^2],326.9
Floor 1,Other 1,Floor area [ft^2],188.7
Floor 1,Living Room 2,Floor area [ft^2],171.5
Floor 1,Other 2,Floor area [ft^2],118.9
Floor 1,Bedroom 1,Floor area [ft^2],114.1
Floor 1,Kitchen (1),Floor area [ft^2],112.7
Floor 2,Other 3,Floor area [ft^2],91.2
Floor 1,Bedroom 2,Floor area [ft^2],81.8
Floor 1,Bathroom 1,Floor area [ft^2],47.3
Floor 1,Foyer,Floor area [ft^2],42.6
Floor 1,Mud Room,Floor area [ft^2],37.7
Floor 1,Stairway,Floor area [ft^2],32.5
Floor 1,Other 7,Floor area [ft^2],28.8
Floor 2,Bathroom 2,Floor area [ft^2],27.4
Floor 1,Closet,Floor area [ft^2],21.3
Floor 1,Other 9,Floor area [ft^2],13.7
Floor 2,Home Office,Dimensions (bounding box) [ft],26' 4.5" x 12' 6.1"
Floor 2,Home Office,Dimensions (inscribed) [ft],26' 4.5" x 10' 7.8"
Floor 1,Other 1,Dimensions [ft],16' 4.9" x 11' 6.0"
Floor 1,Living Room 2,Dimensions [ft],14' 1.4" x 12' 1.7"
Floor 2,Other 3,Dimensions (bounding box) [ft],12' 6.4" x 9' 9.1"
Floor 2,Other 3,Dimensions (inscribed) [ft],9' 9.1" x 7' 7.4"
Floor 1,Other 2,Dimensions (bounding box) [ft],11' 8.4" x 10' 3.7"
Floor 1,Other 2,Dimensions (inscribed) [ft],11' 8.4" x 10' 1.6"
Floor 1,Kitchen (1),Dimensions (bounding box) [ft],11' 7.7" x 10' 2.6"
Floor 1,Kitchen (1),Dimensions (inscribed) [ft],11' 7.7" x 8' 2.8"
Floor 1,Bedroom 1,Dimensions [ft],11' 8.7" x 9' 8.8"
Floor 1,Bedroom 2,Dimensions (bounding box) [ft],9' 5.4" x 8' 9.6"
Floor 1,Bedroom 2,Dimensions (inscribed) [ft],9' 5.4" x 8' 7.8"
Floor 1,Bathroom 1,Dimensions [ft],7' 1.0" x 6' 8.1"
Floor 1,Foyer,Dimensions [ft],8' 7.6" x 4' 11.3"
Floor 1,Mud Room,Dimensions (bounding box) [ft],7' 4.0" x 5' 3.8"
Floor 1,Mud Room,Dimensions (inscribed) [ft],7' 4.0" x 4' 11.8"
Floor 1,Stairway,Dimensions [ft],10' 0.7" x 3' 2.7"
Floor 1,Other 7,Dimensions [ft],6' 8.1" x 4' 3.8"
Floor 2,Bathroom 2,Dimensions [ft],6' 0.1" x 4' 6.8"
Floor 1,Closet,Dimensions (bounding box) [ft],5' 3.8" x 4'
Floor 1,Closet,Dimensions (inscribed) [ft],5' 3.8" x 4'
Floor 1,Other 9,Dimensions (bounding box) [ft],5' 3.7" x 2' 8.0"
Floor 1,Other 9,Dimensions (inscribed) [ft],5' 1.9" x 2' 8.0"
All,Entire Roomplan,Wall area [ft^2],3479.8
Floor 1,Entire Floor,Wall area [ft^2],2763.9
Floor 2,Entire Floor,Wall area [ft^2],715.9
Floor 2,Home Office,Wall area [ft^2],380.8
Floor 1,Kitchen (1),Wall area [ft^2],317.4
Floor 1,Other 1,Wall area [ft^2],312.7
Floor 1,Living Room 2,Wall area [ft^2],311.1
Floor 1,Bedroom 1,Wall area [ft^2],300.3
Floor 1,Bedroom 2,Wall area [ft^2],267.4
Floor 1,Other 2,Wall area [ft^2],223.6
Floor 1,Bathroom 1,Wall area [ft^2],223.2
Floor 2,Other 3,Wall area [ft^2],222.8
Floor 1,Stairway,Wall area [ft^2],178.4
Floor 1,Foyer,Wall area [ft^2],137.4
Floor 1,Closet,Wall area [ft^2],129.6
Floor 1,Mud Room,Wall area [ft^2],128.7
Floor 1,Other 9,Wall area [ft^2],117.5
Floor 1,Other 7,Wall area [ft^2],116.7
